year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,11,7,600,600,0,826,825,1,WN,1716,N421LV,LGA,ATL,123,762,6,0,2013-11-07T11:00:00Z
2013,10,30,1252,1250,2,1356,1400,-4,AA,178,N3DDAA,JFK,BOS,44,187,12,50,2013-10-30T16:00:00Z
2013,12,18,1723,1715,8,2008,2020,-12,DL,1585,N348NB,LGA,MCO,133,950,17,15,2013-12-18T22:00:00Z
2013,11,20,2029,2030,-1,2141,2205,-24,WN,3494,N262WN,EWR,MDW,107,711,20,30,2013-11-21T01:00:00Z
2013,10,21,1620,1625,-5,1818,1831,-13,DL,2231,N330NW,LGA,DTW,90,502,16,25,2013-10-21T20:00:00Z
2013,11,7,852,900,-8,1139,1157,-18,B6,27,N637JB,EWR,MCO,136,937,9,0,2013-11-07T14:00:00Z
2013,9,29,1519,1529,-10,1639,1649,-10,EV,4580,N14916,EWR,MKE,110,725,15,29,2013-09-29T19:00:00Z
2013,12,21,1526,1530,-4,1654,1710,-16,EV,5207,N738EV,LGA,MKE,118,738,15,30,2013-12-21T20:00:00Z
2013,11,7,1650,1650,0,1910,1906,4,9E,2910,N294PQ,JFK,CVG,101,589,16,50,2013-11-07T21:00:00Z
2013,3,31,1652,1700,-8,1810,1821,-11,US,2183,N766US,LGA,DCA,47,214,17,0,2013-03-31T21:00:00Z
2013,9,14,1249,1253,-4,1352,1413,-21,EV,6054,N13913,EWR,IAD,44,212,12,53,2013-09-14T16:00:00Z
2013,9,9,1606,1555,11,1801,1755,6,MQ,3199,N531MQ,LGA,CLT,76,544,15,55,2013-09-09T19:00:00Z
2013,6,30,940,925,15,1216,1220,-4,VX,407,N626VA,JFK,LAX,313,2475,9,25,2013-06-30T13:00:00Z
2013,6,21,1401,1340,21,1514,1456,18,EV,3852,N12921,EWR,BTV,46,266,13,40,2013-06-21T17:00:00Z
2013,4,22,1856,1742,74,2201,2055,66,UA,1165,N74856,EWR,LAX,333,2454,17,42,2013-04-22T21:00:00Z
2013,1,16,1540,1509,31,1815,1741,34,EV,3817,N15973,EWR,JAX,138,820,15,9,2013-01-16T20:00:00Z
2013,3,26,726,729,-3,1013,1026,-13,B6,361,N509JB,LGA,PBI,149,1035,7,29,2013-03-26T11:00:00Z
2013,6,18,1429,1435,-6,1709,1710,-1,B6,615,N298JB,JFK,JAX,122,828,14,35,2013-06-18T18:00:00Z
2013,12,26,800,800,0,1054,1135,-41,AA,59,N393AA,JFK,SFO,335,2586,8,0,2013-12-26T13:00:00Z
2013,5,29,643,647,-4,757,759,-2,EV,4241,N14907,EWR,DCA,40,199,6,47,2013-05-29T10:00:00Z
2013,6,28,1023,1030,-7,1224,1239,-15,DL,2343,N345NB,EWR,ATL,103,746,10,30,2013-06-28T14:00:00Z
2013,3,7,1533,1530,3,1836,1855,-19,AA,1039,N3FWAA,JFK,FLL,148,1069,15,30,2013-03-07T20:00:00Z
2013,9,19,1954,2000,-6,2103,2114,-11,US,2162,N944UW,LGA,BOS,34,184,20,0,2013-09-20T00:00:00Z
2013,12,22,712,705,7,956,1015,-19,AS,15,N403AS,EWR,SEA,324,2402,7,5,2013-12-22T12:00:00Z
2013,7,1,1414,1136,158,1619,1338,161,YV,2807,N935LR,LGA,CLT,85,544,11,36,2013-07-01T15:00:00Z
2013,11,21,1021,1015,6,1344,1330,14,DL,1174,N332NB,LGA,PBI,149,1035,10,15,2013-11-21T15:00:00Z
2013,2,2,1557,1605,-8,1722,1752,-30,9E,3459,N935XJ,JFK,BNA,118,765,16,5,2013-02-02T21:00:00Z
2013,8,8,726,730,-4,1007,1025,-18,AA,1757,N3DDAA,JFK,TPA,133,1005,7,30,2013-08-08T11:00:00Z
2013,1,1,754,755,-1,1103,1030,33,WN,733,N789SW,LGA,DEN,279,1620,7,55,2013-01-01T12:00:00Z
2013,5,15,1458,1510,-12,1801,1815,-14,UA,997,N494UA,EWR,AUS,214,1504,15,10,2013-05-15T19:00:00Z
2013,12,27,2351,2355,-4,421,445,-24,DL,424,N704X,JFK,SJU,184,1598,23,55,2013-12-28T04:00:00Z
2013,8,21,640,645,-5,833,845,-12,B6,675,N206JB,JFK,MSY,160,1182,6,45,2013-08-21T10:00:00Z
2013,5,10,1622,1625,-3,1837,1834,3,EV,4571,N12569,EWR,SAV,111,708,16,25,2013-05-10T20:00:00Z
2013,3,16,2356,2355,1,338,340,-2,B6,739,N653JB,JFK,PSE,198,1617,23,55,2013-03-17T03:00:00Z
2013,7,13,1545,1545,0,1935,2001,-26,DL,4,N3764D,JFK,SJU,191,1598,15,45,2013-07-13T19:00:00Z
2013,9,16,1443,1445,-2,1734,1750,-16,B6,1171,N503JB,LGA,FLL,148,1076,14,45,2013-09-16T18:00:00Z
2013,8,17,1652,1629,23,1941,1927,14,B6,1161,N624JB,LGA,PBI,141,1035,16,29,2013-08-17T20:00:00Z
2013,11,26,1815,1804,11,2123,2130,-7,UA,1165,N24211,EWR,LAX,327,2454,18,4,2013-11-26T23:00:00Z
2013,1,30,1129,1129,0,1428,1419,9,B6,523,N521JB,EWR,MCO,139,937,11,29,2013-01-30T16:00:00Z
